strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,90111,90111
hybrid-reverse,2,helsgaun,2,90135,90135
hybrid-reverse,3,helsgaun,3,90173.800000000017,90173.800000000017
hybrid-reverse,4,helsgaun,4,90257.60000000002,90257.60000000002
hybrid-reverse,5,helsgaun,5,90418.800000000017,90418.800000000017
hybrid-reverse,6,helsgaun,6,90744.200000000012,90744.200000000012
hybrid-reverse,7,helsgaun,7,91364.200000000026,91364.200000000026
hybrid-reverse,8,helsgaun,8,92307.800000000017,92307.800000000017
hybrid-reverse,9,helsgaun,9,93932.200000000012,93932.200000000012
hybrid-reverse,10,helsgaun,10,94647,94647
hybrid-reverse,11,helsgaun,11,93633.599999999991,94647
hybrid-reverse,12,helsgaun,12,93843.000000000029,94647
hybrid-reverse,13,helsgaun,13,96848,96848
hybrid-reverse,14,helsgaun,14,95408.399999999994,96848
hybrid-reverse,15,helsgaun,15,97918.199999999997,97918.199999999997
hybrid-reverse,16,helsgaun,16,97797.800000000003,97918.199999999997
hybrid-reverse,17,helsgaun,17,97457.800000000047,97918.199999999997
hybrid-reverse,18,helsgaun,18,98933.600000000006,98933.600000000006
hybrid-reverse,19,helsgaun,19,97914.199999999997,98933.600000000006
hybrid-reverse,20,helsgaun,20,97782.800000000003,98933.600000000006
hybrid-reverse,21,helsgaun,21,97806.600000000035,98933.600000000006
hybrid-reverse,22,helsgaun,22,98628.799999999974,98933.600000000006
hybrid-reverse,23,helsgaun,23,99618.60000000002,99618.60000000002
hybrid-reverse,24,helsgaun,24,99607.600000000006,99618.60000000002
hybrid-reverse,25,helsgaun,25,98145.800000000003,99618.60000000002
hybrid-reverse,26,helsgaun,26,97712.39999999998,99618.60000000002
hybrid-reverse,27,helsgaun,27,99072.399999999994,99618.60000000002
hybrid-reverse,28,helsgaun,28,98027.200000000012,99618.60000000002
hybrid-reverse,29,helsgaun,29,98451,99618.60000000002
hybrid-reverse,30,helsgaun,30,99464.399999999994,99618.60000000002
hybrid-reverse,31,helsgaun,31,98974.000000000015,99618.60000000002
hybrid-reverse,32,helsgaun,32,95707.000000000015,99618.60000000002
hybrid-reverse,33,helsgaun,33,98999.799999999974,99618.60000000002
hybrid-reverse,34,helsgaun,34,99555.999999999985,99618.60000000002
hybrid-reverse,35,helsgaun,35,97546.199999999997,99618.60000000002
hybrid-reverse,36,helsgaun,36,99523.800000000032,99618.60000000002
hybrid-reverse,37,helsgaun,37,98138,99618.60000000002
hybrid-reverse,38,helsgaun,38,97249.399999999994,99618.60000000002
hybrid-reverse,39,helsgaun,39,98487.199999999983,99618.60000000002
hybrid-reverse,40,helsgaun,40,100921.40000000001,100921.40000000001
hybrid-reverse,41,helsgaun,41,102575.40000000002,102575.40000000002
hybrid-reverse,42,helsgaun,42,102916.59999999999,102916.59999999999
hybrid-reverse,43,helsgaun,43,103323.99999999999,103323.99999999999
hybrid-reverse,44,helsgaun,44,103298.00000000001,103323.99999999999
hybrid-reverse,45,helsgaun,45,103221.59999999998,103323.99999999999
hybrid-reverse,46,helsgaun,46,103505.19999999998,103505.19999999998
hybrid-reverse,47,helsgaun,47,102400.79999999999,103505.19999999998
hybrid-reverse,48,helsgaun,48,103435.79999999999,103505.19999999998
hybrid-reverse,49,helsgaun,49,103138.59999999999,103505.19999999998
hybrid-reverse,50,helsgaun,50,103988.59999999998,103988.59999999998
hybrid-reverse,51,helsgaun,51,103233.60000000001,103988.59999999998
hybrid-reverse,52,helsgaun,52,103398.59999999999,103988.59999999998
hybrid-reverse,53,helsgaun,53,102963.59999999998,103988.59999999998
hybrid-reverse,54,helsgaun,54,102662.99999999997,103988.59999999998
hybrid-reverse,55,helsgaun,55,103614.59999999998,103988.59999999998
hybrid-reverse,56,helsgaun,56,103722.60000000001,103988.59999999998
hybrid-reverse,57,helsgaun,57,102948.00000000001,103988.59999999998
hybrid-reverse,58,helsgaun,58,102727.59999999998,103988.59999999998
hybrid-reverse,59,helsgaun,59,103969.19999999998,103988.59999999998
hybrid-reverse,60,helsgaun,60,103876.19999999998,103988.59999999998
hybrid-reverse,61,helsgaun,61,104508.80000000002,104508.80000000002
hybrid-reverse,62,helsgaun,62,104240.39999999997,104508.80000000002
hybrid-reverse,63,helsgaun,63,104223.59999999996,104508.80000000002
hybrid-reverse,64,helsgaun,64,103982.19999999998,104508.80000000002
hybrid-reverse,65,helsgaun,65,104502.59999999996,104508.80000000002
