run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,branch_lift_first_reorders,branch_zero_gain_splits,branch_ascent_strong_probes,branch_ascent_strong_seconds,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.04781355708837509,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,10,4,7,1,1,1080,1037,48,14,75,0.000283416,0,0,0,0.0,0.00799754,0,0,0,0,0,0,0.0,0.0,64,0.006850847,0,1,1,0,0.020776084,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,156,0.000981134,0.000148705,0,0,0,5.899899999999999e-05
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.03271524980664253,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,1,2,1,1,377,370,29,24,10,0.000204398,0,0,0,0.0,0.002306004,0,0,0,0,0,0,0.0,0.0,64,0.003048505,0,1,1,0,0.01373593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3.0233e-05,0.0,0,0,0,1.1774e-05
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.02701715938746929,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,6,2,4,3,1,377,358,29,17,26,0.000127651,0,0,0,0.0,0.001288642,0,0,0,0,0,0,0.0,0.0,64,0.002356527,0,1,1,0,0.012465682,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,0.00018891899999999996,4.0264e-05,0,0,0,1.7601e-05
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.028854509815573692,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.005583593,0,0,0,0,0,0,0.0,0.0,1,0.000145487,0,1,1,0,0.012425398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,452.1499035488814,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,716226,232121,486283,1204,1,7874,6991,127,6,1004,0.000805366,0,0,0,0.0,0.365387491,12,0,0,0,0,0,0.0,0.0,64,0.028267108,0,1,1,0,0.086858682,657259,657259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10896627,417.38195655800047,27.334421886000328,0,0,0,3.488713197000106
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.062339091673493385,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,9,3,6,2,1,1595,1539,58,23,87,0.000282804,0,0,0,0.0,0.012456896,0,0,0,0,0,0,0.0,0.0,64,0.009927872,0,1,1,0,0.030044163,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76,0.00046798299999999994,0.00010311900000000001,0,0,0,6.6501e-05
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.2934538032859564,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.055299813,0,0,0,0,0,0,0.0,0.0,64,0.054846924,0,1,1,0,0.163494842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.011565117165446281,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000123949,0,0,0,0,0,0,0.0,0.0,1,1.7992e-05,0,1,1,0,0.003745615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,10.671153077855706,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,18038,5557,12539,7,1,8255,7816,130,14,555,0.000966352,0,0,0,0.0,0.096342084,0,0,0,0,0,0,0.0,0.0,64,0.030110116,0,1,1,0,0.087899448,16836,16836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,270441,9.757229019999977,0.517809808999999,0,0,0,0.09620958899999982
GAPMST-P32-LKH-BP-base-0161298b4893,GAPMST-P32-LKH-BP-base,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,11.462321335449815,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,13209,4073,9174,11,1,11025,10518,150,4,653,0.00122122,0,0,0,0.0,0.136995813,0,0,0,0,0,0,0.0,0.0,64,0.041320858,0,1,1,0,0.216754673,12630,12630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,201737,10.429426310000032,0.4819821090000005,0,0,0,0.0788287989999999
