instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>2%:status,P33>2%:successful_repeats,P33>2%:result,P33>5%:status,P33>5%:successful_repeats,P33>5%:result,result_match,P33>2%:matches_reference,P33>5%:matches_reference,P33>2%:wall_vs_Concorde_relative_change,P33>5%:wall_vs_Concorde_relative_change,P33>2%:wall_seconds,P33>5%:wall_seconds,relative_change:wall_seconds,P33>2%:branches,P33>5%:branches,relative_change:branches,P33>2%:nodes_expanded,P33>5%:nodes_expanded,P33>2%:pruned_by_bound,P33>5%:pruned_by_bound,P33>2%:pruned_infeasible,P33>5%:pruned_infeasible,P33>2%:root_potential_iterations,P33>5%:root_potential_iterations,P33>2%:search_node_potential_update_candidates,P33>5%:search_node_potential_update_candidates,P33>2%:search_node_potential_updates_triggered,P33>5%:search_node_potential_updates_triggered,P33>2%:search_node_potential_updates_skipped_total,P33>5%:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>2%:search_node_potential_iterations,P33>5%:search_node_potential_iterations,P33>2%:search_node_potential_updates_skipped_budget_exhausted,P33>5%:search_node_potential_updates_skipped_budget_exhausted,P33>2%:search_node_potential_updates_skipped_depth_interval,P33>5%:search_node_potential_updates_skipped_depth_interval,P33>2%:search_node_potential_updates_skipped_gap_above_maximum,P33>5%:search_node_potential_updates_skipped_gap_above_maximum,P33>2%:search_node_potential_updates_skipped_gap_below_minimum,P33>5%:search_node_potential_updates_skipped_gap_below_minimum,P33>2%:search_node_potential_updates_skipped_invalid_state,P33>5%:search_node_potential_updates_skipped_invalid_state,P33>2%:search_node_potential_updates_skipped_numerically_unsafe,P33>5%:search_node_potential_updates_skipped_numerically_unsafe,P33>2%:search_node_potential_updates_skipped_strategy_none,P33>5%:search_node_potential_updates_skipped_strategy_none,P33>2%:search_node_potential_updates_skipped_update_depth_zero,P33>5%:search_node_potential_updates_skipped_update_depth_zero,P33>2%:search_node_potential_updates_skipped_zero_iteration_limit,P33>5%:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%:search_node_potential_updates_skipped_zero_violation,P33>5%:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,16.210431873055413,14.300805880827845,0.6692893076688051,0.595026658847928,-0.1109574708126454,130438.0,132106.0,0.012787684570447322,105325.0,105325.0,72413.0,74055.0,556.0,751.0,464.0,464.0,105323.0,105323.0,4.0,0.0,105319.0,105323.0,3.797985168874085e-05,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105318.0,105322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.6132350432480587,-0.08119432878633748,0.011402079835534096,0.027086982503533363,1.3756176850400519,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,999.5374962774162,939.4085751791323,336.2310226224363,316.0246748290956,-0.060096619389076955,23999443.0,23991715.0,-0.00032200747325672463,16170127.0,16170127.0,14229142.0,14222938.0,70.0,70.0,800.0,800.0,16170125.0,16170125.0,4.0,0.0,16170121.0,16170125.0,2.4736982484618864e-07,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16170121.0,16170125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,1.1923033786898865,0.7443026916051607,0.03979567997157574,0.03166336938738823,-0.20435159268533798,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.4052389327431,2.041221427795151,0.02900608256459236,0.02590535394847393,-0.10689925498259045,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,1.0593954863961987,0.6910873057691038,0.027933647856116295,0.022937914356589317,-0.17884286095606095,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,12.949927114740108,2.7894667097761627,1.0733571778982878,0.2915750928223133,-0.7283522215845812,484831.0,125818.0,-0.740491016457281,358789.0,90001.0,282944.0,74191.0,1211.0,367.0,334.0,334.0,358788.0,90000.0,3.0,0.0,358785.0,90000.0,-0.7491533927003637,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358783.0,89999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,44.388352324084494,39.862270327991176,9.143691446632147,8.231891499832273,-0.09971901962371155,2490722.0,2490722.0,0.0,1672187.0,1672187.0,1488093.0,1488093.0,6435.0,6435.0,684.0,684.0,1672185.0,1672185.0,0.0,0.0,1672185.0,1672185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672184.0,1672184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.2167195847413581,0.13351934368833884,0.03802814148366451,0.035427747294306755,-0.06838078559465732,44.0,44.0,0.0,36.0,36.0,19.0,19.0,14.0,14.0,100.0,100.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,354.44432329239015,346.6011809047373,42.38162621483207,41.446444226428866,-0.02206574102802883,11764483.0,11756617.0,-0.0006686226670564732,8463763.0,8463763.0,6847237.0,6839324.0,3520.0,3514.0,618.0,618.0,8463761.0,8463761.0,8.0,0.0,8463753.0,8463761.0,9.452071676463447e-07,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8463753.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,74.54855473763455,3312.2369142237776,10.643882662057877,466.79522949270904,42.85572862022319,2644580.0,129214031.0,47.859944112108536,1747525.0,90688415.0,1574155.0,77948748.0,127.0,1132.0,378.0,778.0,1747524.0,90688413.0,5.0,0.0,1747519.0,90688413.0,50.895523310476165,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747506.0,90688403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3450398351382584,1.4728877746582056,0.18941230699419975,0.19973877258598804,0.05451845107458886,348.0,348.0,0.0,225.0,225.0,212.0,212.0,3.0,3.0,333.0,333.0,224.0,224.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.212480280245362,7.589380267878667,3.599265795201063,3.764448929578066,0.04589356379216092,660814.0,660814.0,0.0,487141.0,487141.0,383782.0,383782.0,84.0,84.0,341.0,341.0,487140.0,487140.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.5732063042467561,-0.580807912259556,0.49537921883165836,0.48655603639781475,-0.017810966020441632,91741.0,91741.0,0.0,67911.0,67911.0,52854.0,52854.0,346.0,346.0,400.0,400.0,67910.0,67910.0,0.0,0.0,67910.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67907.0,67907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,423.8832461744573,28.716357042484006,33.349803099408746,2.33248701877892,-0.9300599463263316,9139590.0,525879.0,-0.942461423324241,6577529.0,350903.0,5298064.0,302332.0,793.0,0.0,400.0,400.0,6577528.0,350902.0,6.0,0.0,6577522.0,350902.0,-0.9466513376922191,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6577522.0,350895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,273.2896715361102,274.05131020997186,19.58641449175775,19.64080141298473,0.0027767676033745303,8618315.0,8607708.0,-0.0012307510226766682,5632636.0,5632636.0,5132934.0,5120096.0,44703.0,46294.0,734.0,734.0,5632634.0,5632634.0,2.0,0.0,5632632.0,5632634.0,3.550737914803648e-07,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5632632.0,5632634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.38165077243931844,0.10762652304018538,0.020940512418746948,0.03750997968018055,0.7912636964222433,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.3117233644960111,0.07410469490887506,0.04189041443169117,0.034301966428756714,-0.1811499863604501,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.35797687486355245,-0.4000270490969755,0.02922331541776657,0.027309294790029526,-0.06549635455029168,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,timeout,0,,ok,1,21282.0,,,True,,9059.744451871322,,843.0409174244851,,,192614325.0,,,146674028.0,,115357483.0,,7007.0,,649.0,,146674026.0,,0.0,,146674026.0,,,0.0,,0.0,,0.0,,0.0,,146674025.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.86149631254375,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,timeout,0,,,True,,7124.827376614412,,861.7794308718294,,,38741116.0,,,28704690.0,,21793674.0,,102.0,,800.0,,28704688.0,,15.0,,28704673.0,,,480.0,,0.0,,0.0,,0.0,,28704664.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.0,
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
